

id	time_id	user_id	customer_id	client_id	event_type	event_id
88	2020-02-13	3668-QPYBK	Sendit	desktop	voice call started	8
89	2020-04-01	9959-WOFKT	Connectix	mobile	video call started	6
90	2020-03-26	7795-CFOCW	Sendit	desktop	file received	2
91	2020-04-08	7795-CFOCW	Zoomit	mobile	message received	4
92	2020-03-28	9305-CDSKC	Connectix	desktop	file sent	1
93	2020-03-06	6713-OKOMC	Connectix	desktop	file received	2
94	2020-02-23	9305-CDSKC	Sendit	desktop	message sent	3
95	2020-03-19	5575-GNVDE	Sendit	desktop	voice call received	9
96	2020-03-28	3668-QPYBK	eShop	desktop	message received	4
97	2020-03-22	8091-TTVAX	Connectix	mobile	voice call received	9
98	2020-02-09	3655-SNQYZ	Connectix	desktop	file received	2
99	2020-03-18	6388-TABGU	Sendit	desktop	message received	4
100	2020-03-31	3668-QPYBK	Sendit	mobile	file sent	1
101	2020-03-02	5129-JLPIS	Sendit	desktop	message sent	3
102	2020-03-02	9237-HQITU	Connectix	desktop	voice call received	9
103	2020-03-01	9305-CDSKC	Connectix	desktop	message received	4
104	2020-04-07	5575-GNVDE	Connectix	mobile	message received	4
105	2020-02-17	8191-XWSZG	Zoomit	mobile	message received	4
106	2020-03-02	0280-XJGEX	Electric Gravity	mobile	video call started	6
107	2020-02-07	7590-VHVEG	eShop	mobile	video call received	7
108	2020-03-06	7892-POOKP	Connectix	mobile	message sent	3
109	2020-02-03	9237-HQITU	Sendit	mobile	video call started	6
110	2020-03-02	1452-KIOVK	eShop	mobile	file received	2
111	2020-02-04	7892-POOKP	Connectix	desktop	message received	4
112	2020-03-02	8191-XWSZG	Connectix	desktop	message received	4
113	2020-03-25	4183-MYFRB	Sendit	desktop	video call received	7
114	2020-02-23	6713-OKOMC	Connectix	desktop	message sent	3
115	2020-03-02	9305-CDSKC	Sendit	desktop	voice call started	8
116	2020-03-11	7590-VHVEG	Sendit	desktop	api message received	5
117	2020-04-08	8091-TTVAX	Zoomit	mobile	file sent	1
118	2020-02-01	6713-OKOMC	Electric Gravity	mobile	file received	2
119	2020-03-24	8091-TTVAX	Electric Gravity	desktop	message sent	3
120	2020-03-06	8091-TTVAX	Electric Gravity	mobile	file sent	1
121	2020-03-09	5575-GNVDE	Connectix	mobile	file sent	1
122	2020-03-22	8091-TTVAX	Connectix	mobile	video call received	7
123	2020-03-02	7469-LKBCI	Connectix	mobile	video call started	6
124	2020-03-23	5575-GNVDE	Connectix	mobile	voice call received	9
125	2020-03-30	9305-CDSKC	eShop	desktop	message sent	3
126	2020-03-25	4190-MFLUW	Connectix	desktop	video call started	6
127	2020-03-09	7590-VHVEG	Connectix	mobile	api message received	5
128	2020-03-14	7795-CFOCW	Sendit	desktop	file received	2
129	2020-04-04	9959-WOFKT	Connectix	mobile	message received	4
130	2020-03-31	5129-JLPIS	Connectix	desktop	video call received	7
131	2020-03-27	4183-MYFRB	Connectix	desktop	voice call received	9
132	2020-04-03	5129-JLPIS	Connectix	desktop	file received	2
133	2020-03-01	0280-XJGEX	Connectix	desktop	video call started	6
134	2020-04-16	9763-GRSKD	Connectix	desktop	message sent	3
135	2020-03-07	6388-TABGU	Connectix	desktop	api message received	5
136	2020-03-20	9305-CDSKC	Zoomit	mobile	message sent	3
137	2020-03-10	8091-TTVAX	Sendit	desktop	video call started	6
138	2020-03-20	0280-XJGEX	Zoomit	mobile	message sent	3
139	2020-02-23	5129-JLPIS	Connectix	mobile	file received	2
140	2020-02-18	7590-VHVEG	Connectix	mobile	file sent	1
141	2020-02-18	1452-KIOVK	Connectix	mobile	file received	2
142	2020-02-08	3668-QPYBK	Sendit	desktop	message received	4
143	2020-04-13	7469-LKBCI	Sendit	desktop	video call received	7
144	2020-03-22	6388-TABGU	eShop	mobile	file sent	1
145	2020-03-13	0280-XJGEX	Sendit	desktop	message sent	3
146	2020-03-07	6388-TABGU	Connectix	desktop	voice call received	9
147	2020-03-21	8091-TTVAX	Connectix	mobile	message sent	3
148	2020-04-03	8191-XWSZG	Connectix	desktop	file received	2
149	2020-02-22	7795-CFOCW	Connectix	desktop	message received	4
150	2020-02-14	7590-VHVEG	Connectix	desktop	message received	4
