Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
CCC,CCC 041 Clerk of Circuit Court,S.020186,Deputy Clerk I (State),Non Exempt,5/22/2014,5/22/2014,49151.96
CCC,CCC 041 Clerk of Circuit Court,S.020169,Deputy Clerk II (State),Non Exempt,2/16/2008,4/1/2012,48237.28
CCC,CCC 041 Clerk of Circuit Court,S.020170,Deputy Clerk II (State),Non Exempt,4/16/2002,5/1/2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020188,Deputy Clerk I (State),Non Exempt,9/1/2011,9/1/2011,39849.94
CCC,CCC 041 Clerk of Circuit Court,S.020150,Comptroller (State),Exempt,7/1/2001,6/1/2009,76730.68
CCC,CCC 041 Clerk of Circuit Court,B.006390,Clerk II,Non Exempt,3/26/2020,3/26/2020,32068.40
CCC,CCC 041 Clerk of Circuit Court,S.020159,Deputy Clerk I (State),Non Exempt,11/1/2013,2/22/2015,44870.02
CCC,CCC 041 Clerk of Circuit Court,S.020155,Chief Deputy Clerk II (State),Exempt,7/1/1990,1/1/2004,101324.60
CCC,CCC 041 Clerk of Circuit Court,S.020187,Deputy Clerk I (State),Non Exempt,8/16/2018,8/16/2018,33086.04
CCC,CCC 041 Clerk of Circuit Court,S.020196,Deputy Clerk I (State),Non Exempt,9/16/2010,9/16/2010,36268.44
CCC,CCC 041 Clerk of Circuit Court,S.020189,Deputy Clerk I (State),Non Exempt,3/1/2012,3/1/2012,34438.04
CCC,CCC 041 Clerk of Circuit Court,S.020190,Deputy Clerk I (State),Non Exempt,9/16/2010,9/16/2010,44437.12
CCC,CCC 041 Clerk of Circuit Court,S.020183,Deputy Clerk IV (State),Non Exempt,2/1/2000,4/1/2012,52424.58
CCC,CCC 041 Clerk of Circuit Court,S.020162,Deputy Clerk I (State),Non Exempt,9/1/2013,9/13/2018,33606.04
CCC,CCC 041 Clerk of Circuit Court,S.020160,Deputy Clerk I (State),Non Exempt,3/1/2013,3/1/2013,39160.16
CCC,CCC 041 Clerk of Circuit Court,S.020171,Deputy Clerk II (State),Non Exempt,8/7/2000,4/1/2012,42182.66
CCC,CCC 041 Clerk of Circuit Court,S.020035,Chief Deputy Clerk I (State),Exempt,7/1/1990,7/16/2000,96279.56
CCC,CCC 041 Clerk of Circuit Court,B.006702,Clerk II,Non Exempt,5/6/2021,5/6/2021,31387.20
CCC,CCC 041 Clerk of Circuit Court,S.020172,Deputy Clerk II (State),Non Exempt,4/1/1996,11/1/2003,41558.66
CCC,CCC 041 Clerk of Circuit Court,S.020161,Deputy Clerk I (State),Non Exempt,11/22/2015,11/22/2015,34042.84
CCC,CCC 041 Clerk of Circuit Court,S.020178,Deputy Clerk III (State),Non Exempt,6/12/1987,9/28/2007,51671.36
CCC,CCC 041 Clerk of Circuit Court,S.020177,Deputy Clerk II (State),Non Exempt,7/9/2001,4/1/2012,43308.98
CCC,CCC 041 Clerk of Circuit Court,S.020163,Deputy Clerk I (State),Non Exempt,12/1/2008,12/1/2008,35103.64
CCC,CCC 041 Clerk of Circuit Court,S.020173,Deputy Clerk II (State),Non Exempt,6/16/2007,4/1/2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020174,Deputy Clerk II (State),Non Exempt,8/3/1995,10/1/2001,46388.16
CCC,CCC 041 Clerk of Circuit Court,B.005729,Clerk III,Non Exempt,10/1/1998,12/1/2000,42307.20
CCC,CCC 041 Clerk of Circuit Court,S.020179,Deputy Clerk II (State),Non Exempt,11/22/2015,8/15/2019,35630.66
CCC,CCC 041 Clerk of Circuit Court,S.020198,Deputy Clerk I (State),Non Exempt,10/7/2016,10/7/2016,33918.04
CCC,CCC 041 Clerk of Circuit Court,S.020164,Deputy Clerk I (State),Non Exempt,10/25/2018,10/25/2018,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020618.1     ,Deputy Clerk III (State),Non Exempt,7/30/1982,1/1/2004,47923.46
CCC,CCC 041 Clerk of Circuit Court,S.020619.1     ,Deputy Clerk III (State),Non Exempt,7/1/1990,9/1/2001,48901.06
CCC,CCC 041 Clerk of Circuit Court,S.020165,Deputy Clerk I (State),Non Exempt,7/7/2015,7/7/2015,35436.44
CCC,CCC 041 Clerk of Circuit Court,B.006389,Clerk III,Non Exempt,11/1/1995,10/11/2018,42307.20
CCC,CCC 041 Clerk of Circuit Court,S.020038,Clerk of the Circuit Court (State),Exempt,11/1/1991,1/1/2004,194348.70
CCC,CCC 041 Clerk of Circuit Court,S.020151.2     ,Chief Deputy Clerk I (State),Exempt,7/1/1990,1/1/2004,96632.90
CCC,CCC 041 Clerk of Circuit Court,S.020166,Deputy Clerk I (State),Non Exempt,6/7/2015,6/7/2015,35394.84
CCC,CCC 041 Clerk of Circuit Court,S.020194,Deputy Clerk I (State),Non Exempt,6/3/2002,5/1/2012,35311.64
CCC,CCC 041 Clerk of Circuit Court,S.020197,Deputy Clerk I (State),Non Exempt,9/24/2020,9/24/2020,32344.00
CCC,CCC 041 Clerk of Circuit Court,S.020175,Deputy Clerk II (State),Non Exempt,9/1/2006,4/1/2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020040,Deputy Clerk I (State),Non Exempt,9/26/2019,9/26/2019,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020167,Deputy Clerk I (State),Non Exempt,8/1/1999,6/1/2001,37578.84
CCC,CCC 041 Clerk of Circuit Court,S.020176,Deputy Clerk II (State),Non Exempt,9/9/1996,4/1/2012,46336.16
CCC,CCC 041 Clerk of Circuit Court,S.020180,Deputy Clerk III (State),Non Exempt,12/16/1997,4/1/2012,49517.52
CCC,CCC 041 Clerk of Circuit Court,S.020195,Deputy Clerk I (State),Non Exempt,12/1/2011,12/1/2011,39878.80
CCC,CCC 041 Clerk of Circuit Court,S.020184,Deputy Clerk IV (State),Non Exempt,4/7/1997,4/1/2012,61102.08
CCC,CCC 041 Clerk of Circuit Court,S.020168,Deputy Clerk I (State),Non Exempt,5/18/2005,5/16/2008,37350.04
CIR,CIR 011 Circuit Court/Judges Office,B.002621.2     ,Judicial Administrative Assistant,Non Exempt,12/9/1994,7/1/2017,53895.14
CIR,CIR 011 Circuit Court/Judges Office,B.000176.2     ,Judicial Administrative Assistant,Non Exempt,12/16/1987,7/1/2006,69305.60
CIR,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,Exempt,7/1/1990,6/1/2003,123385.60
CIR,CIR 011 Circuit Court/Judges Office,B.005757,Judicial Assistant,Non Exempt,5/21/2020,3/25/2021,35193.60
CIR,CIR 011 Circuit Court/Judges Office,B.004909.3     ,Business Application Specialist II,Exempt,3/16/1990,11/1/2006,71785.48
CIR,CIR 011 Circuit Court/Judges Office,N.090175,Judicial Assistant,Non Exempt,7/1/2021,NULL,17.67
CIR,CIR 011 Circuit Court/Judges Office,B.004012,Staff Attorney,Exempt,7/16/1998,7/16/1998,110542.38
CIR,CIR 011 Circuit Court/Judges Office,B.001911,Judicial Assistant,Non Exempt,7/1/2005,2/1/2014,41699.06
CIR,CIR 011 Circuit Court/Judges Office,B.005758,Law Clerk,Exempt,8/12/2021,NULL,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.005154.2     ,Judicial Administrative Assistant,Non Exempt,8/1/1997,7/1/2017,64274.34
CIR,CIR 011 Circuit Court/Judges Office,B.005218,Law Clerk,Exempt,7/29/2021,7/29/2021,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.004582,Law Clerk,Exempt,8/27/2020,8/27/2020,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.000619,Jury Specialist,Non Exempt,1/7/2016,1/7/2016,42031.34
CIT,CIT 114 Mail Service,B.002220,Distribution Clerk II,Non Exempt,2/22/2015,1/4/2018,32405.88
CIT,CIT 114 Mail Service,B.005961.1     ,Distribution Clerk II,Non Exempt,6/1/2009,5/1/2012,33133.88
CIT,CIT 114 Mail Service,B.000146,Distribution Clerk Supervisor,Non Exempt,2/1/2018,2/1/2018,48828.00
CIT,CIT 120 Information Technology Business Center,B.003001.3     ,Accountant II,Exempt,7/7/2016,2/15/2018,56452.50
CIT,CIT 120 Information Technology Business Center,B.002190.2     ,Financial Specialist,Non Exempt,5/24/2018,1/17/2019,51024.74
CIT,CIT 120 Information Technology Business Center,B.002808.1     ,Administrative Technician,Non Exempt,5/11/2017,6/7/2018,39863.20
CIT,CIT 120 Information Technology Business Center,B.001871,Account Clerk II,Non Exempt,7/5/2018,8/2/2018,33612.02
CIT,CIT 120 Information Technology Business Center,B.005852.4     ,Media and Communications Coordinator II,Non Exempt,7/6/2017,7/6/2017,56434.82
CIT,CIT 120 Information Technology Business Center,B.005463,Account Clerk II,Non Exempt,11/8/2018,11/8/2018,33612.02
CIT,CIT 120 Information Technology Business Center,B.003191,Administrative Services Manager II,Exempt,2/14/2019,2/14/2019,88285.60
CIT,CIT 120 Information Technology Business Center,B.003613,Account Clerk III,Non Exempt,10/7/2014,3/2/2017,39494.26
CIT,CIT 120 Information Technology Business Center,B.004374.3     ,Systems Analyst II,Exempt,8/26/2021,NULL,81120.00
CIT,CIT 120 Information Technology Business Center,B.003212,Executive Assistant II,Non Exempt,11/7/2019,7/29/2021,40768.00
CIT,CIT 120 Information Technology Business Center,B.007461.1     ,Systems Analyst II,Exempt,5/9/2019,5/9/2019,77930.84
CIT,CIT 120 Information Technology Business Center,B.006845.4     ,Systems Analyst II,Exempt,12/6/2018,12/6/2018,85023.64
CIT,CIT 120 Information Technology Business Center,B.001351.2     ,Special Projects Coordinator,Exempt,10/1/2005,1/5/2017,70537.48
CIT,CIT 120 Information Technology Business Center,B.000474.3     ,Systems Analyst III,Exempt,11/7/2015,4/27/2017,91329.68
CIT,CIT 120 Information Technology Business Center,B.003339,Chief Information Officer,Exempt,4/13/2017,4/13/2017,165041.50
CIT,CIT 121 Applications Support,B.007003.2     ,Systems Analyst II,Exempt,6/7/2015,6/7/2015,90826.84
CIT,CIT 121 Applications Support,B.007460.2     ,Systems Analyst II,Exempt,5/21/2020,5/21/2020,76100.44
CIT,CIT 121 Applications Support,B.007454,Systems Analyst III,Exempt,1/3/2019,1/3/2019,93097.68
CIT,CIT 121 Applications Support,B.003552.3     ,Systems Analyst III,Exempt,3/16/2011,3/16/2011,104662.48
CIT,CIT 121 Applications Support,B.007453,Systems Analyst II,Exempt,3/14/2019,3/14/2019,77930.84
CIT,CIT 121 Applications Support,B.006190.4     ,Systems Analyst II,Exempt,11/7/2019,11/7/2019,76100.44
CIT,CIT 121 Applications Support,B.000198,Systems Analyst II,Exempt,11/1/2001,9/1/2011,102849.24
CIT,CIT 121 Applications Support,B.003563.1     ,Programmer/Analyst II,Exempt,3/16/1985,2/16/1990,87318.40
CIT,CIT 121 Applications Support,B.005948,Systems Analyst III,Exempt,2/16/2004,2/16/2004,117436.80
CIT,CIT 121 Applications Support,B.006434.1     ,Systems Analyst I,Exempt,11/22/2016,11/22/2016,71865.56
CIT,CIT 121 Applications Support,B.001976.4     ,IT Deputy Chief of Enterprise Solutions and Services,Exempt,9/16/1988,10/1/2009,132749.50
CIT,CIT 121 Applications Support,B.000502.2     ,IT Deputy Chief of Enterprise Solutions and Services,Exempt,4/1/1999,6/22/2017,136011.20
CIT,CIT 121 Applications Support,B.003199.2     ,Systems Analyst II,Exempt,5/6/2021,5/6/2021,73736.00
CIT,CIT 121 Applications Support,B.006402.2     ,Systems Analyst II,Exempt,1/30/2020,1/30/2020,78673.92
CIT,CIT 121 Applications Support,B.003526.3     ,Systems Analyst II,Exempt,3/25/2021,3/25/2021,78999.96
CIT,CIT 121 Applications Support,B.006192,Systems Analyst II,Exempt,2/13/2020,2/13/2020,94092.44
CIT,CIT 121 Applications Support,B.007311,Systems Analyst III,Exempt,10/26/2017,10/26/2017,94366.48
CIT,CIT 121 Applications Support,B.006191.2     ,Systems Analyst III,Exempt,7/1/2005,7/1/2005,111006.48
CIT,CIT 121 Applications Support,B.001857.2     ,Systems Analyst II,Exempt,6/8/2017,6/8/2017,89620.44
CIT,CIT 121 Applications Support,B.003591.3     ,Systems Analyst II,Exempt,8/3/2017,8/3/2017,79740.44
CIT,CIT 121 Applications Support,B.007455,Systems Analyst II,Exempt,4/8/2021,9/4/2021,75000.12
CIT,CIT 121 Applications Support,B.002790.3     ,Systems Analyst II,Exempt,9/27/2018,9/27/2018,90514.84
CIT,CIT 121 Applications Support,B.007312,Systems Analyst III,Exempt,3/28/2019,3/28/2019,81886.48
CIT,CIT 121 Applications Support,B.007144,Systems Analyst III,Exempt,10/1/2013,2/16/2017,105036.88
CIT,CIT 121 Applications Support,B.003398.2     ,Systems Analyst I,Exempt,10/16/2013,3/28/2019,67206.36
CIT,CIT 121 Applications Support,B.001790,Programmer/Analyst III,Exempt,1/16/1982,1/1/1991,96387.20
CIT,CIT 121 Applications Support,B.003703.1     ,Systems Analyst II,Exempt,6/7/2016,6/7/2016,82548.44
CIT,CIT 121 Applications Support,B.006193,Systems Analyst III,Exempt,3/29/2018,9/12/2019,94948.88
CIT,CIT 121 Applications Support,B.005459.3     ,Systems Analyst II,Exempt,8/27/2020,8/27/2020,85999.94
CIT,CIT 121 Applications Support,B.001145.1     ,Systems Analyst II,Exempt,4/26/2018,4/26/2018,75566.40
CIT,CIT 121 Applications Support,B.001309.1     ,Systems Analyst II,Exempt,11/1/1979,12/16/2013,83858.84
CIT,CIT 121 Applications Support,B.006734.2     ,Systems Analyst II,Exempt,5/7/2016,5/7/2016,82548.44
CIT,CIT 121 Applications Support,B.000946.3     ,Systems Engineer III,Exempt,6/22/2017,6/22/2017,125082.62
CIT,CIT 121 Applications Support,B.003602.1     ,Systems Analyst II,Exempt,7/22/2014,7/22/2014,90930.84
CIT,CIT 121 Applications Support,B.000795.3     ,Systems Analyst II,Exempt,5/1/2009,6/22/2015,83650.84
CIT,CIT 121 Applications Support,B.006738.1     ,Systems Analyst II,Exempt,4/1/2002,3/29/2018,101518.04
CIT,CIT 121 Applications Support,B.005960.2     ,Systems Analyst II,Exempt,11/16/1988,4/1/2012,97150.04
CIT,CIT 121 Applications Support,B.003946.1     ,Systems Analyst II,Exempt,6/1/1998,7/6/2017,92823.64
CIT,CIT 121 Applications Support,B.005829.1     ,Systems Analyst III,Exempt,11/16/2010,11/16/2010,112296.08
CIT,CIT 121 Applications Support,B.006507.3     ,Systems Analyst I,Exempt,11/21/2019,11/21/2019,68599.96
CIT,CIT 121 Applications Support,B.003381,Systems Analyst III,Exempt,6/1/2010,6/1/2010,89873.68
CIT,CIT 121 Applications Support,B.002964,Systems Analyst III,Exempt,12/1/2002,12/1/2002,117436.80
CIT,CIT 121 Applications Support,B.001159,Systems Analyst II,Exempt,11/7/2016,11/7/2016,81550.04
CIT,CIT 121 Applications Support,B.006443.3     ,Systems Analyst II,Exempt,7/20/2017,7/20/2017,79844.44
CIT,CIT 121 Applications Support,B.007316.1     ,Systems Analyst II,Exempt,2/14/2019,2/14/2019,91908.44
CIT,CIT 121 Applications Support,B.006732.1     ,Systems Analyst II,Exempt,11/1/1987,1/28/2021,107633.24
CIT,CIT 122 Data & Information Management,B.000577.2     ,Systems Engineer II,Exempt,9/16/2013,10/22/2016,104721.24
CIT,CIT 122 Data & Information Management,B.001434.3     ,IT Deputy Chief of Data and Information Management,Exempt,3/29/2018,3/29/2018,136011.20
CIT,CIT 122 Data & Information Management,B.001013.2     ,Systems Engineer II,Exempt,9/12/2019,9/12/2019,83297.24
CIT,CIT 122 Data & Information Management,B.004377.1     ,Systems Engineer III,Exempt,6/16/2010,9/27/2018,107985.02
CIT,CIT 122 Data & Information Management,B.002822.1     ,Systems Engineer II,Exempt,6/1/2006,9/1/2010,111779.20
CIT,CIT 122 Data & Information Management,B.006194.1     ,Systems Engineer III,Exempt,2/16/2004,9/24/2020,123460.22
CIT,CIT 122 Data & Information Management,B.003494.2     ,Systems Engineer II,Exempt,2/7/2016,2/7/2016,97087.64
CIT,CIT 122 Data & Information Management,B.000890.1     ,Systems Engineer II,Exempt,2/22/2015,2/22/2015,94362.84
CIT,CIT 123 Systems Support,B.006733.2     ,IT Support Center Specialist II,Non Exempt,10/1/2001,10/1/2012,65977.60
CIT,CIT 123 Systems Support,B.003632,Systems Engineer II,Exempt,12/16/2013,11/7/2016,97462.04
CIT,CIT 123 Systems Support,B.005508.1     ,Systems Engineer I,Exempt,8/13/2020,8/13/2020,71781.84
CIT,CIT 123 Systems Support,B.006736,Systems Engineer I,Exempt,9/16/1998,12/16/2013,89873.16
CIT,CIT 123 Systems Support,B.002865,Systems Engineer II,Exempt,1/14/2021,1/14/2021,95000.10
CIT,CIT 123 Systems Support,B.007004.2     ,Systems Engineer III,Exempt,1/4/2021,1/4/2021,104999.96
CIT,CIT 123 Systems Support,B.005023.1     ,Microcomputer Systems Analyst I,Exempt,2/16/2017,2/16/2017,53709.24
CIT,CIT 123 Systems Support,B.005779.2     ,Systems Engineer III,Exempt,7/1/2005,1/16/2013,110793.02
CIT,CIT 123 Systems Support,B.005553.3     ,IT Support Supervisor,Exempt,2/15/2018,8/15/2019,60528.00
CIT,CIT 123 Systems Support,B.006433,Systems Engineer II,Exempt,7/15/2021,7/15/2021,90000.04
CIT,CIT 123 Systems Support,B.005771.1     ,Microcomputer Systems Analyst II,Exempt,3/16/1999,12/31/2020,70112.12
CIT,CIT 123 Systems Support,B.006077.3     ,Systems Engineer II,Exempt,11/23/2017,3/25/2021,79551.68
CIT,CIT 123 Systems Support,B.007458,Systems Engineer II,Exempt,10/25/2018,10/25/2018,84337.24
CIT,CIT 123 Systems Support,B.001425.2     ,Systems Engineer I,Exempt,12/7/2015,2/16/2017,78245.96
CIT,CIT 123 Systems Support,B.002703.1     ,Computer Operator II,Non Exempt,9/10/2020,9/10/2020,35152.00
CIT,CIT 123 Systems Support,B.000802.1     ,Systems Engineer I,Exempt,12/7/2017,12/7/2017,72255.56
CIT,CIT 123 Systems Support,B.003918.2     ,Microcomputer Systems Analyst II,Exempt,7/6/2017,7/6/2017,64537.72
CIT,CIT 123 Systems Support,B.004327.1     ,Systems Engineer II,Exempt,9/22/2016,9/22/2016,79844.44
CIT,CIT 123 Systems Support,B.005074.2     ,Systems Engineer III,Exempt,8/3/1987,9/7/2016,115202.62
CIT,CIT 123 Systems Support,B.007145.1     ,Systems Engineer I,Exempt,3/7/2015,6/22/2017,73191.56
CIT,CIT 123 Systems Support,B.004121,Systems Engineer III,Exempt,11/21/2019,11/21/2019,104837.72
CIT,CIT 123 Systems Support,B.006432.2     ,Systems Engineer II,Exempt,2/1/2009,9/7/2016,96193.24
CIT,CIT 123 Systems Support,B.001526.1     ,Computer Operations Supervisor,Exempt,1/1/2004,1/1/2004,91748.80
CIT,CIT 123 Systems Support,B.005642,Systems Engineer II,Exempt,12/7/2015,12/7/2015,108756.44
CIT,CIT 123 Systems Support,B.001783.1     ,Systems Analyst III,Exempt,5/23/1994,7/22/2015,100648.08
CIT,CIT 123 Systems Support,B.007457.3     ,Systems Analyst II,Exempt,8/16/2018,8/16/2018,81903.64
CIT,CIT 123 Systems Support,B.003877.2     ,Systems Engineer I,Exempt,11/1/2013,7/7/2014,80825.16
CIT,CIT 123 Systems Support,B.002132,Systems Engineer II,Exempt,1/1/1990,9/1/1998,103743.64
CIT,CIT 123 Systems Support,B.000664.4     ,IT Support Center Specialist II,Non Exempt,1/16/2014,1/16/2014,52895.18
CIT,CIT 123 Systems Support,B.006441.2     ,Electronics Operations Technician,Non Exempt,11/16/2007,11/16/2007,53999.14
CIT,CIT 123 Systems Support,B.000639.1     ,Computer Operator II,Non Exempt,7/30/2020,7/30/2020,36249.46
CIT,CIT 123 Systems Support,B.007313,Systems Engineer II,Exempt,1/1/2003,8/29/2019,92532.44
CIT,CIT 123 Systems Support,B.006431,Microcomputer Systems Analyst I,Exempt,11/16/2005,11/16/2005,61114.04
CIT,CIT 123 Systems Support,B.005645.2     ,Systems Engineer I,Exempt,11/16/2007,11/16/2007,78682.76
CIT,CIT 123 Systems Support,B.000308.3     ,IT Support Center Specialist II,Non Exempt,6/3/2021,6/3/2021,44990.40
CIT,CIT 123 Systems Support,B.007456,Systems Analyst II,Exempt,8/16/2018,8/16/2018,79740.44
