sale_id,sale_date,product,location,revenue
128,2020-02-08,Support,90210 Los Angeles CA,51210.53
129,2020-02-08,Starter Pack,"Atlanta, GA 30302",30829.08
130,2020-02-08,Starter Pack,"San Francisco, CA, 94101",8438.08
131,2020-02-08,Consulting,Los Angeles 90001,66831.24
132,2020-02-09,Enterprise Suite,90001,55718.99
133,2020-02-09,Consulting,Seattle 98101,17398.76
134,2020-02-10,Pro License,"Richmond, VA 23219",24608.92
135,2020-02-10,Consulting,48202 Detroit,18200.03
136,2020-02-11,Consulting,23219,50589.92
137,2020-02-11,Starter Pack,Boston 02101,79993.09
138,2020-02-11,Enterprise Suite,02102,63592.48
139,2020-02-11,Enterprise Suite,27601 Raleigh NC,14363.56
140,2020-02-11,Consulting,"Houston, TX, 77001",16597.06
141,2020-02-12,Starter Pack,30301 Atlanta,29506.94
142,2020-02-12,Enterprise Suite,Houston 77002,37535.88
143,2020-02-13,Starter Pack,19102 Philadelphia PA,48401.35
144,2020-02-13,Pro License,53201,21039.41
145,2020-02-13,Starter Pack,"Raleigh, NC, 27601",8808.37
146,2020-02-13,Support,06101,64717.04
147,2020-02-14,Enterprise Suite,98101 Seattle WA,61567.79
148,2020-02-14,Consulting,"Minneapolis, MN 55401",2607.3
149,2020-02-14,Starter Pack,"Philadelphia, PA, 19102",37514.26
150,2020-02-14,Consulting,Portland 97201,65413.93
151,2020-02-15,Support,85001 Phoenix,45049.4
152,2020-02-15,Enterprise Suite,48202 Detroit,42882.23
153,2020-02-15,Consulting,98102 Seattle WA,26484.53
154,2020-02-15,Consulting,53201 Milwaukee,18147.04
155,2020-02-16,Starter Pack,94101 San Francisco,23818.07
156,2020-02-16,Starter Pack,60601 Chicago IL,44255.36
157,2020-02-16,Pro License,10001,43747.04
158,2020-02-17,Pro License,"Los Angeles, CA, 90210",47040.54
159,2020-02-17,Consulting,"Phoenix, AZ 85001",60255.84
160,2020-02-17,Pro License,"New York, NY 10002",11979.0
161,2020-02-18,Starter Pack,"Detroit, MI 48201",33870.08
162,2020-02-18,Support,55402 Minneapolis,22424.18
163,2020-02-18,Starter Pack,55402 Minneapolis,35737.04
164,2020-02-19,Pro License,30302 Atlanta,9877.39
165,2020-02-19,Pro License,Hartford 06101,60716.08
166,2020-02-19,Starter Pack,"Atlanta, GA, 30301",45100.47
167,2020-02-19,Pro License,60602 Chicago,49064.51
168,2020-02-20,Enterprise Suite,"Columbus, OH, 43201",10613.19
169,2020-02-20,Enterprise Suite,07101 Newark NJ,25573.35
170,2020-02-20,Pro License,"Chicago, IL, 60602",35476.03
171,2020-02-21,Support,19102 Philadelphia,70453.98
172,2020-02-21,Starter Pack,Phoenix 85001,46211.99
173,2020-02-21,Consulting,02101,23935.88
174,2020-02-21,Enterprise Suite,02102 Boston MA,35053.06
175,2020-02-21,Support,02101 Boston,16379.53
176,2020-02-22,Consulting,27601 Raleigh NC,9751.74
177,2020-02-22,Consulting,"Atlanta, GA 30302",47214.53
178,2020-02-23,Consulting,48201 Detroit,43288.0
179,2020-02-23,Enterprise Suite,Boston 02101,50722.32
180,2020-02-23,Enterprise Suite,Atlanta 30301,18084.83
181,2020-02-23,Enterprise Suite,Raleigh 27601,12907.37
182,2020-02-23,Support,"New York, NY 10001",35638.82
183,2020-02-24,Starter Pack,"New York, NY, 10003",22360.72
184,2020-02-24,Pro License,97201 Portland,11979.1
185,2020-02-24,Support,Miami 33102,27232.92
186,2020-02-24,Pro License,77001,54779.45
187,2020-02-25,Support,"Houston, TX, 77002",48179.83
188,2020-02-25,Consulting,"Chicago, IL, 60602",23079.37
189,2020-02-26,Support,90001 Los Angeles CA,85184.8
190,2020-02-26,Support,94101,42771.74
191,2020-02-26,Support,98101 Seattle,67700.85
192,2020-02-26,Support,10002 New York NY,11849.52
193,2020-02-27,Pro License,"Chicago, IL 60601",29659.86
194,2020-02-27,Pro License,98102 Seattle WA,82950.11
195,2020-02-28,Consulting,94101 San Francisco,87400.64
196,2020-02-28,Enterprise Suite,Los Angeles 90210,33997.91
197,2020-02-28,Consulting,55401 Minneapolis,21758.96
198,2020-02-28,Support,90001,74339.55
199,2020-02-28,Starter Pack,97201 Portland,13397.02
200,2020-02-29,Enterprise Suite,"Los Angeles, CA, 90001",78652.49
201,2020-02-29,Pro License,97201 Portland OR,40712.8
202,2020-03-01,Enterprise Suite,San Francisco 94101,58534.33
203,2020-03-01,Starter Pack,"Chicago, IL 60601",28362.54
204,2020-03-01,Support,San Francisco 94101,16199.79
205,2020-03-01,Enterprise Suite,77002 Houston TX,20712.76
206,2020-03-02,Enterprise Suite,"Philadelphia, PA 19101",21852.55
207,2020-03-02,Pro License,"Hartford, CT 06101",53578.23
208,2020-03-02,Starter Pack,"Chicago, IL 60602",26425.86
209,2020-03-02,Pro License,"Phoenix, AZ 85001",88340.55
210,2020-03-02,Support,77001 Houston TX,24864.4
211,2020-03-03,Consulting,02102 Boston,25718.56
212,2020-03-03,Enterprise Suite,94102 San Francisco,28442.5
213,2020-03-03,Support,"Detroit, MI, 48201",42198.84
214,2020-03-04,Consulting,77001 Houston,28453.2
215,2020-03-04,Support,"Minneapolis, MN 55401",28492.04
216,2020-03-04,Pro License,"Portland, OR, 97201",84359.59
217,2020-03-04,Pro License,"Raleigh, NC 27601",35592.47
218,2020-03-04,Consulting,"New York, NY, 10003",28863.22
219,2020-03-05,Pro License,"Milwaukee, WI 53201",49443.87
220,2020-03-05,Support,10003 New York,14468.47
221,2020-03-05,Consulting,19102,70564.28
222,2020-03-05,Pro License,"Portland, OR 97201",7289.2
223,2020-03-05,Starter Pack,77001 Houston,7265.21
224,2020-03-06,Support,"Philadelphia, PA 19101",68882.4
225,2020-03-06,Consulting,48202 Detroit MI,32086.36
226,2020-03-06,Pro License,"New York, NY, 10003",51309.46
227,2020-03-06,Enterprise Suite,"Chicago, IL 60602",49876.44
228,2020-03-06,Enterprise Suite,"Philadelphia, PA 19102",62027.73
229,2020-03-07,Enterprise Suite,48201 Detroit,45364.35
230,2020-03-07,Starter Pack,"Boston, MA 02101",27002.58
231,2020-03-07,Consulting,77001 Houston TX,16919.25
232,2020-03-08,Support,"Houston, TX 77002",12978.95
233,2020-03-08,Support,Raleigh 27601,31367.03
234,2020-03-08,Starter Pack,"Atlanta, GA 30302",29285.55
235,2020-03-09,Consulting,10001 New York,72418.14
236,2020-03-09,Starter Pack,77002 Houston TX,7210.13
237,2020-03-09,Consulting,"Detroit, MI, 48201",32669.06
238,2020-03-09,Starter Pack,Richmond 23219,29039.64
239,2020-03-10,Consulting,85001 Phoenix AZ,14958.87
240,2020-03-10,Starter Pack,55402,29590.97
241,2020-03-10,Support,"Los Angeles, CA, 90001",29056.35
242,2020-03-10,Consulting,02101 Boston,73296.27
243,2020-03-10,Starter Pack,Atlanta 30302,37602.7
244,2020-03-11,Pro License,"Richmond, VA, 23219",41632.57
245,2020-03-11,Enterprise Suite,19102 Philadelphia,72755.28
246,2020-03-11,Starter Pack,"Seattle, WA, 98102",8802.62
247,2020-03-12,Starter Pack,"Philadelphia, PA, 19101",73222.09
248,2020-03-12,Pro License,90210 Los Angeles CA,20753.77
249,2020-03-12,Starter Pack,Columbus 43201,27480.91
250,2020-03-13,Starter Pack,"Phoenix, AZ, 85001",87260.26
251,2020-03-13,Consulting,55401,40603.16
252,2020-03-13,Pro License,"Houston, TX, 77001",45986.64
253,2020-03-13,Support,90001 Los Angeles,87250.66
254,2020-03-14,Support,90001,7169.17
255,2020-03-14,Starter Pack,97201 Portland OR,36961.2
256,2020-03-15,Pro License,"Columbus, OH 43201",7200.61
257,2020-03-15,Support,10002 New York,51466.02
258,2020-03-15,Consulting,"Atlanta, GA, 30302",39916.19
259,2020-03-15,Enterprise Suite,Detroit 48201,33163.49
260,2020-03-15,Starter Pack,"New York, NY 10003",75969.61
261,2020-03-16,Support,Philadelphia 19102,22610.0
262,2020-03-16,Support,"Milwaukee, WI 53201",23774.9
263,2020-03-17,Consulting,90210 Los Angeles CA,61013.44
264,2020-03-17,Starter Pack,90210,84880.46
265,2020-03-17,Consulting,Columbus 43201,12428.94
266,2020-03-18,Starter Pack,19102 Philadelphia PA,78569.58
267,2020-03-18,Starter Pack,Minneapolis 55402,4906.4
268,2020-03-18,Consulting,06101,76175.81
269,2020-03-18,Support,30301,39577.15
270,2020-03-19,Pro License,55401 Minneapolis MN,13691.31
271,2020-03-19,Support,Atlanta 30301,6910.78
272,2020-03-20,Pro License,30302 Atlanta GA,21727.89
273,2020-03-20,Pro License,New York 10001,25795.61
274,2020-03-20,Enterprise Suite,"Richmond, VA, 23219",48515.29
275,2020-03-21,Pro License,07101 Newark NJ,6114.52
276,2020-03-21,Starter Pack,48202,2757.49
277,2020-03-22,Enterprise Suite,"Los Angeles, CA 90210",50191.18
278,2020-03-22,Support,98102 Seattle WA,71353.43
279,2020-03-22,Pro License,19102 Philadelphia PA,38900.41
280,2020-03-23,Enterprise Suite,48201,23986.04
281,2020-03-23,Consulting,"Phoenix, AZ, 85001",77173.08
282,2020-03-24,Consulting,94101,65841.71
283,2020-03-24,Pro License,19101,29158.39
284,2020-03-25,Support,60601 Chicago IL,31967.24
285,2020-03-25,Support,48202 Detroit MI,20283.41
286,2020-03-25,Support,"Chicago, IL 60602",23778.34
287,2020-03-26,Support,"Hartford, CT, 06101",68959.46
288,2020-03-26,Pro License,"Atlanta, GA 30301",27513.99
289,2020-03-27,Enterprise Suite,97201 Portland,39493.34
290,2020-03-27,Starter Pack,98101 Seattle,32251.98
291,2020-03-27,Consulting,77001,42148.8
292,2020-03-27,Enterprise Suite,"Philadelphia, PA 19101",67382.89
293,2020-03-28,Support,43201,40964.93
294,2020-03-28,Consulting,55401 Minneapolis,34160.64
295,2020-03-29,Support,02101 Boston,77629.9
296,2020-03-29,Support,Minneapolis 55402,6972.83
297,2020-03-29,Pro License,77001,40433.97
298,2020-03-29,Starter Pack,55402,42577.92
299,2020-03-29,Consulting,60601 Chicago IL,29556.8
300,2020-03-30,Starter Pack,"Chicago, IL, 60601",3389.75
301,2020-03-30,Starter Pack,48201,46233.8
302,2020-03-31,Consulting,77001,35280.3
303,2020-03-31,Enterprise Suite,77001,45235.24
304,2020-03-31,Consulting,30301 Atlanta,24443.08
305,2020-04-01,Starter Pack,43201 Columbus OH,16958.59
306,2020-04-01,Pro License,Philadelphia 19101,71250.66
307,2020-04-01,Starter Pack,"Boston, MA 02101",55547.65
308,2020-04-02,Consulting,94101 San Francisco,56994.38
309,2020-04-02,Enterprise Suite,30301 Atlanta,46031.76
310,2020-04-02,Support,"Seattle, WA 98101",15314.74
311,2020-04-02,Consulting,48201 Detroit MI,4180.03
312,2020-04-02,Starter Pack,Boston 02101,5576.53
313,2020-04-03,Enterprise Suite,23219,19498.49
314,2020-04-03,Pro License,San Francisco 94101,68749.19
315,2020-04-03,Pro License,53201 Milwaukee WI,27563.95
316,2020-04-04,Enterprise Suite,"Boston, MA 02102",34780.34
317,2020-04-04,Enterprise Suite,10002 New York,39481.57
318,2020-04-04,Consulting,98101 Seattle,54165.57
319,2020-04-04,Starter Pack,Hartford 06101,35377.42
320,2020-04-05,Enterprise Suite,Columbus 43201,6230.23
321,2020-04-05,Support,98101,55465.19
322,2020-04-05,Starter Pack,Los Angeles 90001,79124.05
323,2020-04-05,Enterprise Suite,55401 Minneapolis MN,39397.66
324,2020-04-05,Pro License,06101 Hartford,44795.36
325,2020-04-06,Pro License,77001 Houston,16467.32
326,2020-04-06,Pro License,"Miami, FL, 33102",12889.44
327,2020-04-06,Consulting,"Boston, MA 02102",18285.96
328,2020-04-06,Support,"Seattle, WA, 98102",63215.21
329,2020-04-07,Enterprise Suite,"Detroit, MI 48202",9245.96
330,2020-04-07,Starter Pack,98102 Seattle WA,59036.35
331,2020-04-07,Enterprise Suite,02101 Boston,31395.67
332,2020-04-07,Enterprise Suite,97201 Portland,43960.76
333,2020-04-08,Enterprise Suite,02102 Boston MA,53349.99
334,2020-04-08,Support,94102 San Francisco CA,38296.53
335,2020-04-08,Support,"New York, NY, 10003",38730.03
336,2020-04-08,Consulting,33102 Miami FL,21327.03
337,2020-04-09,Starter Pack,"Boston, MA, 02101",38789.23
338,2020-04-09,Pro License,19101,42841.18
339,2020-04-09,Consulting,27601 Raleigh NC,43334.44
340,2020-04-10,Starter Pack,"Columbus, OH 43201",19896.9
341,2020-04-10,Support,90210,71055.04
342,2020-04-10,Enterprise Suite,55401 Minneapolis MN,5163.77
343,2020-04-11,Support,Chicago 60602,14095.8
344,2020-04-11,Pro License,55401 Minneapolis,5912.1
345,2020-04-11,Consulting,Detroit 48201,48449.43
346,2020-04-11,Consulting,"Philadelphia, PA, 19101",28218.64
347,2020-04-11,Support,55401,41032.87
348,2020-04-12,Starter Pack,94102 San Francisco,36393.56
349,2020-04-12,Starter Pack,"Miami, FL 33101",57216.65
350,2020-04-12,Pro License,Miami 33102,15912.95
351,2020-04-12,Enterprise Suite,02102 Boston MA,27184.41
352,2020-04-12,Support,New York 10003,54644.69
353,2020-04-13,Support,Houston 77001,12248.09
354,2020-04-13,Starter Pack,"Seattle, WA, 98102",9670.16
355,2020-04-13,Support,27601 Raleigh,58266.55
356,2020-04-13,Pro License,98102 Seattle,25656.25
357,2020-04-13,Pro License,85001 Phoenix,81933.84
358,2020-04-14,Consulting,97201 Portland OR,70632.84
359,2020-04-14,Pro License,90210 Los Angeles CA,87166.52
360,2020-04-14,Enterprise Suite,"Newark, NJ, 07101",70475.14
361,2020-04-14,Support,85001,79425.82
362,2020-04-14,Pro License,06101 Hartford,26379.73
363,2020-04-15,Consulting,94102,18377.29
364,2020-04-15,Starter Pack,30302,49552.09
365,2020-04-15,Support,90210 Los Angeles,10473.58
366,2020-04-15,Enterprise Suite,27601 Raleigh,25011.47
367,2020-04-15,Enterprise Suite,"Atlanta, GA, 30302",4606.69
368,2020-04-16,Starter Pack,"Houston, TX 77001",10843.18
369,2020-04-16,Consulting,"Newark, NJ 07101",61913.09
370,2020-04-16,Enterprise Suite,10001 New York,72939.31
371,2020-04-16,Support,"Atlanta, GA, 30301",50592.9
372,2020-04-17,Pro License,06101 Hartford,63212.95
373,2020-04-17,Consulting,"Hartford, CT, 06101",8581.21
374,2020-04-17,Consulting,97201 Portland OR,11275.8
375,2020-04-17,Support,New York 10002,52396.62
376,2020-04-17,Enterprise Suite,77001 Houston TX,19602.5
377,2020-04-18,Pro License,"Raleigh, NC, 27601",35527.83
378,2020-04-18,Starter Pack,19101,44261.34
379,2020-04-18,Support,94102 San Francisco CA,72058.64
380,2020-04-18,Consulting,10002,34284.03
381,2020-04-19,Enterprise Suite,43201 Columbus,14175.21
382,2020-04-19,Enterprise Suite,02102 Boston MA,30860.19
383,2020-04-19,Starter Pack,55401 Minneapolis MN,8403.66
384,2020-04-19,Pro License,"Minneapolis, MN, 55401",41048.43
385,2020-04-19,Consulting,"Portland, OR, 97201",88388.81
386,2020-04-20,Consulting,07101,9732.54
387,2020-04-20,Pro License,60602,11676.37
388,2020-04-20,Support,"Detroit, MI 48202",46801.81
389,2020-04-21,Pro License,23219 Richmond,5087.38
390,2020-04-21,Enterprise Suite,"Minneapolis, MN, 55402",43382.65
391,2020-04-21,Starter Pack,"Minneapolis, MN 55401",15114.4
392,2020-04-21,Consulting,90001 Los Angeles,68437.85
393,2020-04-21,Consulting,33101 Miami,31283.58
394,2020-04-22,Enterprise Suite,"Philadelphia, PA 19101",59531.1
395,2020-04-22,Starter Pack,33101,34092.04
396,2020-04-22,Starter Pack,19101 Philadelphia,29593.99
397,2020-04-22,Consulting,Seattle 98102,56620.22
398,2020-04-23,Starter Pack,55402 Minneapolis MN,23462.22
399,2020-04-23,Enterprise Suite,98101,29062.65
400,2020-04-23,Pro License,90001,36518.13
401,2020-04-23,Consulting,77001,51374.15
402,2020-04-23,Starter Pack,07101 Newark,10042.5
403,2020-04-24,Consulting,10003 New York,50382.11
404,2020-04-24,Enterprise Suite,43201 Columbus OH,23309.09
405,2020-04-24,Consulting,07101 Newark,44709.49
406,2020-04-24,Enterprise Suite,60601,13981.36
407,2020-04-24,Consulting,33101 Miami FL,31445.51
408,2020-04-25,Consulting,Richmond 23219,47172.98
409,2020-04-25,Consulting,Chicago 60602,35311.07
410,2020-04-26,Consulting,Newark 07101,68961.97
411,2020-04-26,Starter Pack,"Seattle, WA, 98102",89770.04
412,2020-04-27,Starter Pack,02102 Boston,46249.79
413,2020-04-27,Pro License,77002 Houston,43573.12
414,2020-04-27,Pro License,San Francisco 94102,24836.3
415,2020-04-27,Enterprise Suite,27601 Raleigh,48051.26
416,2020-04-28,Support,Portland 97201,73507.59
417,2020-04-28,Consulting,"Philadelphia, PA, 19101",9931.11
418,2020-04-28,Consulting,85001 Phoenix AZ,50158.44
419,2020-04-28,Starter Pack,"Boston, MA, 02102",14399.51
420,2020-04-29,Support,98102 Seattle,45129.99
421,2020-04-29,Support,"Newark, NJ, 07101",70847.01
422,2020-04-30,Enterprise Suite,07101,37446.37
423,2020-04-30,Pro License,77001 Houston,20335.1
424,2020-04-30,Support,30302 Atlanta,22723.32
425,2020-05-01,Support,23219 Richmond,14189.21
426,2020-05-01,Support,07101 Newark NJ,51876.68
427,2020-05-02,Support,94102 San Francisco CA,59842.94
428,2020-05-02,Support,"Houston, TX, 77001",12758.44
429,2020-05-03,Enterprise Suite,10003,66892.72
430,2020-05-03,Support,10003 New York,76141.01
431,2020-05-03,Consulting,30301 Atlanta GA,46716.66
432,2020-05-03,Support,10002 New York,42352.85
433,2020-05-04,Consulting,85001 Phoenix,26569.74
434,2020-05-04,Enterprise Suite,Portland 97201,12129.73
435,2020-05-04,Consulting,Seattle 98102,40912.23
436,2020-05-04,Starter Pack,"Minneapolis, MN, 55401",31119.69
437,2020-05-05,Pro License,55402 Minneapolis,48817.96
438,2020-05-05,Starter Pack,San Francisco 94102,53178.7
439,2020-05-05,Consulting,Portland 97201,16291.84
440,2020-05-05,Starter Pack,"Houston, TX 77001",8518.26
441,2020-05-06,Pro License,27601 Raleigh,57873.09
442,2020-05-06,Pro License,"Detroit, MI 48202",11112.04
443,2020-05-06,Starter Pack,"San Francisco, CA 94102",45212.47
444,2020-05-06,Consulting,10002 New York NY,11753.68
445,2020-05-06,Pro License,97201 Portland OR,87201.68
446,2020-05-07,Consulting,02101 Boston MA,8790.53
447,2020-05-07,Enterprise Suite,85001,30002.86
448,2020-05-07,Starter Pack,"Seattle, WA, 98101",17250.54
449,2020-05-07,Starter Pack,43201,38665.12
450,2020-05-08,Pro License,02101 Boston,47771.12
451,2020-05-08,Support,"Chicago, IL 60602",5529.52
452,2020-05-08,Support,"Chicago, IL, 60601",41614.94
453,2020-05-08,Enterprise Suite,"Hartford, CT 06101",14649.75
454,2020-05-08,Starter Pack,43201 Columbus OH,40155.07
455,2020-05-09,Support,"Houston, TX 77001",14346.3
456,2020-05-09,Enterprise Suite,San Francisco 94102,9381.41
457,2020-05-09,Support,"Minneapolis, MN 55401",40590.36
458,2020-05-09,Support,Houston 77001,37556.85
459,2020-05-10,Support,"Detroit, MI, 48202",9800.1
460,2020-05-10,Support,48201 Detroit MI,30498.78
461,2020-05-10,Starter Pack,"San Francisco, CA 94101",65534.14
462,2020-05-10,Enterprise Suite,"New York, NY 10002",32626.84
463,2020-05-11,Starter Pack,"New York, NY, 10002",49768.22
464,2020-05-11,Support,"Atlanta, GA 30302",44119.81
465,2020-05-11,Support,"Houston, TX 77002",32881.24
466,2020-05-11,Pro License,77001,49834.69
467,2020-05-12,Starter Pack,"Miami, FL 33102",4079.43
468,2020-05-12,Pro License,"Houston, TX 77001",26538.73
469,2020-05-13,Support,Boston 02101,57933.14
470,2020-05-13,Consulting,48202 Detroit MI,49909.9
471,2020-05-13,Pro License,"Milwaukee, WI 53201",17060.12
472,2020-05-13,Starter Pack,55401 Minneapolis MN,28221.11
473,2020-05-13,Pro License,85001 Phoenix,22150.19
474,2020-05-14,Starter Pack,30302 Atlanta,56664.68
475,2020-05-14,Consulting,30301 Atlanta,42343.67
476,2020-05-14,Starter Pack,85001 Phoenix,35299.47
477,2020-05-14,Support,"Hartford, CT 06101",48010.76
478,2020-05-15,Pro License,55402 Minneapolis,47821.23
479,2020-05-15,Enterprise Suite,10003 New York,26572.28
480,2020-05-15,Consulting,Seattle 98102,61101.65
481,2020-05-15,Starter Pack,33102 Miami FL,50193.25
482,2020-05-15,Support,"Chicago, IL, 60601",8589.1
483,2020-05-16,Support,Raleigh 27601,5893.63
484,2020-05-16,Consulting,30302 Atlanta,5991.99
