order_id,business_id,business_name,account_handle,dma_region,business_type,order_date,order_amount,client_tier
ORD-3946849,BIZ-100003,Northwind Logistics,northwindlogistics,NEW YORK,finance,11/13/2024,-250.0,BRONZE
ORD-5349442,BIZ-100003,NORTHWIND LOGISTICS, northwindlogistics ,NEW YORK,finance,2025/03/12,3691.39,SILVER
ORD-9788815,BIZ-100004,Harborview Technologies, harborviewtechnologies ,Seattle,RETAIL,2025-14-01,-250.0,GOLD
ORD-3639223,BIZ-100004,harborview technologies,harborviewtechnologies,Seattle,Retail,,112.59,silver
ORD-8914896,BIZ-100004,harborview technologies,,SEATTLE,Retail,02/17/2023,,silver
ORD-5165165,BIZ-100004, Harborview Technologies , harborviewtechnologies ,seattle,Retail,,1926.76,GOLD
ORD-9653253,BIZ-100004,Harborview Technologies,,Seattle,RETAIL,2023/08/17,3890.28,BRONZE
ORD-7189439,BIZ-100005,APEX MANUFACTURING, apexmanufacturing ,san francisco,hospitality,,,silver
ORD-5112546,BIZ-100005,APEX MANUFACTURING,apexmanufacturing, San Francisco ,Hospitality,2025-01-20,2753.57,SILVER
ORD-7312844,BIZ-100005,apex manufacturing,apexmanufacturing,SAN FRANCISCO,hospitality,2023-01-02,24223.7,PLATINUM
ORD-2560728,BIZ-100005,Apex Manufacturing,APEXMANUFACTURING, San Francisco ,hospitality,2023/10/14,-250.0,Gold
ORD-3239990,BIZ-100005, Apex Manufacturing ,apexmanufacturing,San Francisco,HOSPITALITY,2024-06-01,,bronze
ORD-8596016,BIZ-100006,harborview financial,HARBORVIEWFINANCIAL,Seattle,Marketing,2023-11-22,16694.16,Gold
ORD-8542478,BIZ-100006, Harborview Financial , harborviewfinancial , Seattle ,Marketing,,,Silver
ORD-5446095,BIZ-100006,Harborview Financial,harborviewfinancial,SEATTLE,marketing,2024/04/19,4149.29,silver
ORD-6499465,BIZ-100006,HARBORVIEW FINANCIAL,harborviewfinancial,SEATTLE,MARKETING,2025-14-01,,GOLD
ORD-8586676,BIZ-100007,Skyline Logistics LLC,,LOS ANGELES,Hospitality,2025-14-01,599.35,gold
ORD-4729376,BIZ-100007,SKYLINE LOGISTICS,SKYLINELOGISTICS, Los Angeles ,HOSPITALITY,03/05/2023,2953.39,gold
ORD-8439543,BIZ-100008,NOVATECH PARTNERS,novatechpartners,los angeles,Finance,07/22/2023,-250.0,bronze
ORD-7626978,BIZ-100008, NovaTech Partners ,novatechpartners, Los Angeles ,finance,2025-14-01,9294.32,Silver
ORD-3493621,BIZ-100009,Crescent Digital,,NEW YORK,technology,2024/04/01,,gold
ORD-5693862,BIZ-100009, Crescent Digital ,CRESCENTDIGITAL, New York ,Technology,,-250.0,gold
ORD-7024901,BIZ-100009, Crescent Digital ,, New York ,TECHNOLOGY,,12767.63,gold
ORD-4674549,BIZ-100009,Crescent Digital, crescentdigital ,New York,TECHNOLOGY,,16679.78,GOLD
ORD-5045872,BIZ-100010,redwood consulting,,Atlanta,Manufacturing,,,GOLD
ORD-4968669,BIZ-100010,Redwood Consulting LLC, redwoodconsulting ,atlanta,manufacturing,06/30/2023,-250.0,platinum
ORD-4158036,BIZ-100011, Peakline Partners ,,miami-fort lauderdale,Logistics,2025-14-01,-250.0,silver
ORD-9832340,BIZ-100011, Peakline Partners ,peaklinepartners,miami-fort lauderdale,logistics,2023-01-21,11815.18,SILVER
ORD-1367637,BIZ-100011,PEAKLINE PARTNERS,,MIAMI-FORT LAUDERDALE,Logistics,,,PLATINUM
ORD-2695038,BIZ-100012,apex consulting, apexconsulting ,phoenix,Technology,2024-08-23,,Platinum
ORD-3922635,BIZ-100012,Apex Consulting LLC,,phoenix,Technology,,,GOLD
ORD-1030163,BIZ-100012,Apex Consulting LLC,,Phoenix,Technology,,-250.0,silver
ORD-2746679,BIZ-100012, Apex Consulting ,APEXCONSULTING,phoenix,technology,10/16/2024,24647.59,Platinum
ORD-6632941,BIZ-100012, Apex Consulting ,apexconsulting,phoenix,Technology,2023-04-01,3496.56,PLATINUM
ORD-7474950,BIZ-100013, Apex Solutions ,,SEATTLE,MANUFACTURING,2025-14-01,,Gold
ORD-9044494,BIZ-100013,Apex Solutions LLC,APEXSOLUTIONS,SEATTLE,MANUFACTURING,04/28/2025,4016.05,SILVER
ORD-2244876,BIZ-100014,urbanhive manufacturing,URBANHIVEMANUFACTURING, New York ,Retail,04/18/2023,2780.53,SILVER
ORD-9098979,BIZ-100014,UrbanHive Manufacturing,,NEW YORK,retail,2025-14-01,7025.16,silver
ORD-5450404,BIZ-100014,urbanhive manufacturing, urbanhivemanufacturing ,NEW YORK,Retail,02/24/2024,,GOLD
ORD-7053704,BIZ-100014,UrbanHive Manufacturing,,New York,RETAIL,,6939.74,GOLD
ORD-8945197,BIZ-100015,Westlake Health, westlakehealth , Chicago ,TECHNOLOGY,2025-14-01,-250.0,bronze
ORD-7224691,BIZ-100015, Westlake Health , westlakehealth ,CHICAGO,TECHNOLOGY,07/09/2023,14301.16,Silver
ORD-2034137,BIZ-100015,WESTLAKE HEALTH,westlakehealth,Chicago,technology,2024/07/31,-250.0,silver
ORD-2023137,BIZ-100015, Westlake Health ,, Chicago ,technology,2025-14-01,,Gold
ORD-1582647,BIZ-100016,TrueNorth Health LLC,,NEW YORK,Hospitality,2025-14-01,24687.36,silver
ORD-1715982,BIZ-100016, TrueNorth Health ,truenorthhealth, New York ,Hospitality,2023-05-10,4187.13,Gold
ORD-7666510,BIZ-100016,TrueNorth Health LLC, truenorthhealth ,new york,hospitality,2025-14-01,-250.0,platinum
ORD-8039616,BIZ-100016,TrueNorth Health,,NEW YORK,Hospitality,,2980.88,Gold
ORD-2694338,BIZ-100016,truenorth health,,new york,HOSPITALITY,2024/07/30,-250.0,Bronze
ORD-5620682,BIZ-100017, Evergreen Financial ,EVERGREENFINANCIAL, Atlanta ,Healthcare,2025-14-01,11629.88,gold
ORD-8972838,BIZ-100017,evergreen financial, evergreenfinancial ,Atlanta,HEALTHCARE,2025/02/02,1623.65,silver
ORD-8434162,BIZ-100018,velocity hospitality, velocityhospitality , Dallas-Ft. Worth ,marketing,11/04/2023,,PLATINUM
ORD-9665455,BIZ-100018,velocity hospitality,velocityhospitality,DALLAS-FT. WORTH,Marketing,2024/05/11,-250.0,platinum
ORD-3914829,BIZ-100018,VELOCITY HOSPITALITY,VELOCITYHOSPITALITY,Dallas-Ft. Worth,Marketing,01/30/2023,23360.62,Silver
ORD-8788293,BIZ-100019,Luna Media LLC,,Seattle,healthcare,04/23/2025,,GOLD
ORD-8962169,BIZ-100019,Luna Media LLC,,seattle,HEALTHCARE,2025-06-10,4204.5,Silver
ORD-7485495,BIZ-100019,Luna Media,LUNAMEDIA,SEATTLE,Healthcare,2023-01-29,,BRONZE
ORD-1149283,BIZ-100019, Luna Media ,LUNAMEDIA,SEATTLE,healthcare,01/21/2023,,PLATINUM
ORD-7316209,BIZ-100020,apex health,,los angeles,Logistics,2025-14-01,-250.0,bronze
ORD-2716512,BIZ-100020,Apex Health,,los angeles,logistics,,3084.35,Bronze
ORD-6641903,BIZ-100020,apex health, apexhealth ,los angeles,LOGISTICS,2023/03/07,15345.87,gold
ORD-7779646,BIZ-100020,apex health,APEXHEALTH,Los Angeles,logistics,2025-14-01,,bronze
ORD-1592554,BIZ-100021,Redwood Partners LLC,,SAN FRANCISCO,FINANCE,2025-01-24,,Platinum
ORD-9511330,BIZ-100021,redwood partners,REDWOODPARTNERS,SAN FRANCISCO,FINANCE,01/03/2024,-250.0,GOLD
ORD-6630978,BIZ-100021,Redwood Partners,REDWOODPARTNERS,san francisco,Finance,2024/11/27,,Silver
ORD-5933359,BIZ-100021, Redwood Partners ,redwoodpartners, San Francisco ,Finance,,,silver
ORD-3010177,BIZ-100021, Redwood Partners ,,san francisco,FINANCE,05/27/2024,8015.57,SILVER
ORD-8676774,BIZ-100022,WESTLAKE DIGITAL, westlakedigital ,MIAMI-FORT LAUDERDALE,Finance,2025-14-01,,Platinum
ORD-1079079,BIZ-100022, Westlake Digital , westlakedigital ,MIAMI-FORT LAUDERDALE,Finance,,3845.97,GOLD
ORD-8276470,BIZ-100022, Westlake Digital ,, Miami-Fort Lauderdale ,FINANCE,2025-14-01,,gold
ORD-9909268,BIZ-100022,WESTLAKE DIGITAL,westlakedigital,Miami-Fort Lauderdale,finance,2023-11-26,,GOLD
ORD-7434909,BIZ-100022,Westlake Digital LLC,,miami-fort lauderdale,Finance,04/16/2023,,Bronze
ORD-9793234,BIZ-100023,redrock retail,,ATLANTA,HOSPITALITY,2025-14-01,,gold
ORD-4763487,BIZ-100023,REDROCK RETAIL,REDROCKRETAIL,Atlanta,hospitality,,928.03,bronze
ORD-5291430,BIZ-100023,RedRock Retail LLC,,Atlanta,hospitality,06/16/2025,3343.65,gold
ORD-2942630,BIZ-100023, RedRock Retail ,, Atlanta ,Hospitality,,19037.36,PLATINUM
ORD-1156104,BIZ-100023,redrock retail,,Atlanta,hospitality,,17112.69,bronze
ORD-2760168,BIZ-100023,RedRock Retail LLC,,Atlanta,HOSPITALITY,04/30/2025,-250.0,silver
ORD-9776935,BIZ-100024,EVERGREEN MEDIA, evergreenmedia , Dallas-Ft. Worth ,MANUFACTURING,2025-05-01,14927.09,PLATINUM
ORD-6546608,BIZ-100024,EVERGREEN MEDIA,evergreenmedia,Dallas-Ft. Worth,manufacturing,05/07/2024,,GOLD
ORD-9584991,BIZ-100024,Evergreen Media,evergreenmedia,dallas-ft. worth,manufacturing,2023-04-03,,Bronze
ORD-2674515,BIZ-100024,EVERGREEN MEDIA,evergreenmedia,dallas-ft. worth,MANUFACTURING,2023/02/21,2187.38,gold
ORD-3860721,BIZ-100025,riverstone industries, riverstoneindustries , Phoenix ,logistics,2024/11/10,,GOLD
ORD-7723930,BIZ-100025, Riverstone Industries ,,phoenix,LOGISTICS,2025-14-01,17976.93,Gold
ORD-1983923,BIZ-100025,RIVERSTONE INDUSTRIES,riverstoneindustries, Phoenix ,logistics,2025-14-01,18567.86,platinum
ORD-7016291,BIZ-100026,Titan Partners LLC,titanpartners,LOS ANGELES,FINANCE,2025-14-01,653.39,Gold
ORD-6272037,BIZ-100026,Titan Partners,,LOS ANGELES,finance,2023/09/25,-250.0,Gold
ORD-5170429,BIZ-100026, Titan Partners , titanpartners , Los Angeles ,Finance,,4471.1,Platinum
ORD-9482016,BIZ-100026, Titan Partners ,,LOS ANGELES,Finance,2025-14-01,,gold
ORD-4736395,BIZ-100026,Titan Partners LLC,, Los Angeles ,Finance,06/03/2024,,Gold
ORD-6302632,BIZ-100027,Clearwater Studios,,San Francisco,Marketing,2025-14-01,2120.46,Gold
ORD-6110305,BIZ-100027,Clearwater Studios LLC,,SAN FRANCISCO,marketing,2025-14-01,4756.74,silver
ORD-8624573,BIZ-100027,clearwater studios,, San Francisco ,marketing,2025/05/14,7280.47,gold
ORD-6958243,BIZ-100027,clearwater studios,,san francisco,marketing,12/16/2023,8283.11,PLATINUM
ORD-7865417,BIZ-100027,Clearwater Studios, clearwaterstudios ,SAN FRANCISCO,Marketing,01/30/2025,,silver
ORD-7953658,BIZ-100028,Clearwater Networks,,Phoenix,HOSPITALITY,2025-14-01,24123.81,Bronze
ORD-9898037,BIZ-100028,Clearwater Networks,, Phoenix ,hospitality,2025-14-01,20621.63,PLATINUM
ORD-3913368,BIZ-100028,CLEARWATER NETWORKS,clearwaternetworks, Phoenix ,hospitality,,,bronze
ORD-5164755,BIZ-100028,clearwater networks,,phoenix,HOSPITALITY,2025-14-01,-250.0,PLATINUM
ORD-6266549,BIZ-100029,Velocity Health LLC,VELOCITYHEALTH,LOS ANGELES,Logistics,,18732.23,PLATINUM
ORD-3983202,BIZ-100029,Velocity Health LLC,,los angeles,logistics,10/27/2024,-250.0,platinum
ORD-8004117,BIZ-100029,Velocity Health LLC, velocityhealth , Los Angeles ,Logistics,,621.71,Platinum
ORD-4353806,BIZ-100029,velocity health,VELOCITYHEALTH,los angeles,logistics,2023/02/27,,silver
ORD-1542011,BIZ-100029,velocity health,,Los Angeles,logistics,,-250.0,bronze
ORD-9571853,BIZ-100029,velocity health,velocityhealth, Los Angeles ,LOGISTICS,2025-14-01,,BRONZE
ORD-5216804,BIZ-100030,VERTEX RETAIL,, New York ,Healthcare,2023/01/14,-250.0,silver
ORD-4246352,BIZ-100030,vertex retail,,NEW YORK,healthcare,03/05/2025,-250.0,Gold
ORD-8189168,BIZ-100031,ironbridge analytics,,phoenix,Technology,2023-02-11,,Bronze
ORD-3597208,BIZ-100031,IronBridge Analytics,IRONBRIDGEANALYTICS,phoenix,technology,12/27/2024,,Bronze
ORD-7007679,BIZ-100031,IronBridge Analytics, ironbridgeanalytics ,PHOENIX,Technology,,,BRONZE
ORD-7768215,BIZ-100031,IronBridge Analytics, ironbridgeanalytics ,PHOENIX,Technology,2024/07/03,-250.0,BRONZE
ORD-1147701,BIZ-100031,IronBridge Analytics, ironbridgeanalytics , Phoenix ,Technology,,4601.18,Platinum
ORD-2902100,BIZ-100032, Redwood Construction , redwoodconstruction ,seattle,Logistics,,-250.0,Bronze
ORD-1735708,BIZ-100032,redwood construction,REDWOODCONSTRUCTION,seattle,logistics,05/13/2024,-250.0,BRONZE
ORD-2098434,BIZ-100032,REDWOOD CONSTRUCTION,REDWOODCONSTRUCTION, Seattle ,Logistics,2023-01-08,,Platinum
ORD-2209981,BIZ-100032,REDWOOD CONSTRUCTION,redwoodconstruction, Seattle ,logistics,2025/04/16,6464.96,Silver
ORD-4819259,BIZ-100033,pioneer partners,, San Francisco ,RETAIL,2025-14-01,2221.82,BRONZE
ORD-2060950,BIZ-100033,Pioneer Partners LLC,pioneerpartners,San Francisco,RETAIL,,,platinum
ORD-5723078,BIZ-100033, Pioneer Partners ,, San Francisco ,retail,03/30/2023,15669.36,PLATINUM
ORD-5948917,BIZ-100033,PIONEER PARTNERS, pioneerpartners ,san francisco,Retail,,4386.36,gold
ORD-7611593,BIZ-100033,Pioneer Partners LLC,,San Francisco,RETAIL,2024-08-09,,silver
ORD-9599207,BIZ-100033,PIONEER PARTNERS,PIONEERPARTNERS,SAN FRANCISCO,Retail,,8886.52,Platinum
ORD-1912484,BIZ-100034,Westlake Consulting LLC,,San Francisco,MARKETING,05/22/2025,-250.0,Bronze
ORD-6991787,BIZ-100034,WESTLAKE CONSULTING,WESTLAKECONSULTING,San Francisco,MARKETING,,,Bronze
ORD-6128383,BIZ-100034,Westlake Consulting LLC,WESTLAKECONSULTING,san francisco,MARKETING,2025-14-01,11264.3,PLATINUM
ORD-8316947,BIZ-100034,westlake consulting, westlakeconsulting ,SAN FRANCISCO,marketing,2025/01/27,,Silver
ORD-2825908,BIZ-100034,WESTLAKE CONSULTING,,San Francisco,MARKETING,2024-05-13,4467.36,PLATINUM
ORD-1312564,BIZ-100034,Westlake Consulting LLC,westlakeconsulting, San Francisco ,marketing,2023-03-19,-250.0,BRONZE
ORD-3493647,BIZ-100035,summit solutions,,PHOENIX,healthcare,2024/10/31,756.02,bronze
ORD-9424968,BIZ-100035,Summit Solutions,SUMMITSOLUTIONS,PHOENIX,healthcare,2024-01-08,-250.0,Platinum
ORD-3452813,BIZ-100035, Summit Solutions , summitsolutions ,Phoenix,Healthcare,2025-14-01,10287.14,gold
ORD-4469093,BIZ-100035,Summit Solutions LLC, summitsolutions , Phoenix ,HEALTHCARE,2025-14-01,,Gold
ORD-9747185,BIZ-100035,summit solutions, summitsolutions ,PHOENIX,HEALTHCARE,2025-14-01,1889.95,BRONZE
ORD-4739628,BIZ-100036,BrightPath Logistics LLC,,chicago,HEALTHCARE,2025-14-01,3984.02,BRONZE
ORD-8380275,BIZ-100036,BRIGHTPATH LOGISTICS,BRIGHTPATHLOGISTICS,Chicago,healthcare,2023/05/23,,platinum
ORD-2985251,BIZ-100036,BRIGHTPATH LOGISTICS,,chicago,healthcare,01/04/2025,14576.29,platinum
ORD-7893744,BIZ-100036,BrightPath Logistics,BRIGHTPATHLOGISTICS,Chicago,Healthcare,,-250.0,gold
ORD-1938047,BIZ-100037,PIONEER CONSULTING, pioneerconsulting ,CHICAGO,finance,2025-14-01,3036.85,PLATINUM
ORD-5755579,BIZ-100037,Pioneer Consulting,PIONEERCONSULTING, Chicago ,finance,2025-14-01,,platinum
ORD-4051509,BIZ-100037,Pioneer Consulting LLC,,chicago,Finance,2023/05/27,4619.52,silver
ORD-7466977,BIZ-100037,PIONEER CONSULTING,pioneerconsulting,Chicago,Finance,,,GOLD
ORD-2615622,BIZ-100037,PIONEER CONSULTING,,Chicago,finance,,6863.8,platinum
ORD-1020136,BIZ-100037, Pioneer Consulting ,, Chicago ,FINANCE,07/06/2024,,bronze
ORD-2639417,BIZ-100038, Titan Hospitality ,TITANHOSPITALITY,los angeles,RETAIL,2024-08-26,-250.0,BRONZE
ORD-5325249,BIZ-100038,TITAN HOSPITALITY,titanhospitality,Los Angeles,retail,,5143.88,PLATINUM
ORD-6299951,BIZ-100038, Titan Hospitality , titanhospitality ,Los Angeles,Retail,2025-14-01,-250.0,bronze
ORD-7134489,BIZ-100038,Titan Hospitality LLC, titanhospitality , Los Angeles ,Retail,2025-14-01,16151.25,SILVER
ORD-9116148,BIZ-100039,peakline digital, peaklinedigital ,houston,retail,2025-14-01,3705.33,PLATINUM
ORD-8492618,BIZ-100039,PEAKLINE DIGITAL,peaklinedigital,HOUSTON,retail,2025-14-01,-250.0,PLATINUM
ORD-1873301,BIZ-100039,PEAKLINE DIGITAL,,Houston,Retail,2024-12-01,2411.18,Gold
ORD-4720687,BIZ-100039,peakline digital,peaklinedigital,Houston,retail,2025-14-01,-250.0,Silver
ORD-1964069,BIZ-100039,PEAKLINE DIGITAL,, Houston ,Retail,2024-12-29,-250.0,Silver
ORD-1563871,BIZ-100039,Peakline Digital LLC,,HOUSTON,retail,2023-07-19,3402.72,GOLD
ORD-7701385,BIZ-100040,summit hospitality,, Chicago ,finance,2023-10-10,2636.94,Gold
ORD-5773013,BIZ-100040,Summit Hospitality LLC,,chicago,FINANCE,2024/07/16,,bronze
ORD-5380657,BIZ-100041,NORTHWIND HEALTH,,Seattle,technology,01/05/2023,2565.53,BRONZE
ORD-5196677,BIZ-100041, Northwind Health ,, Seattle ,Technology,2023/09/21,,platinum
ORD-1458868,BIZ-100041, Northwind Health ,northwindhealth,seattle,Technology,2025-14-01,24883.96,SILVER
ORD-6923972,BIZ-100041,Northwind Health LLC,,Seattle,technology,2024/02/27,,Gold
ORD-3994493,BIZ-100041, Northwind Health , northwindhealth ,seattle,Technology,,23942.36,Bronze
ORD-4349848,BIZ-100041,NORTHWIND HEALTH,NORTHWINDHEALTH,seattle,Technology,2025-01-24,-250.0,SILVER
ORD-2789949,BIZ-100042,Vertex Industries,vertexindustries, New York ,healthcare,03/08/2025,3844.8,Bronze
ORD-6291817,BIZ-100042, Vertex Industries ,,new york,HEALTHCARE,2024-01-16,,bronze
ORD-3151610,BIZ-100042,Vertex Industries,, New York ,HEALTHCARE,,11945.78,Bronze
ORD-9694039,BIZ-100043, Titan Industries , titanindustries ,San Francisco,Healthcare,2024-12-16,,platinum
ORD-5357055,BIZ-100043,TITAN INDUSTRIES,,san francisco,Healthcare,2025/06/01,,GOLD
ORD-4532148,BIZ-100044, Evergreen Technologies , evergreentechnologies ,seattle,HOSPITALITY,2024/03/10,-250.0,Platinum
ORD-2675536,BIZ-100044,evergreen technologies,EVERGREENTECHNOLOGIES, Seattle ,HOSPITALITY,2023-08-23,24182.96,Bronze
ORD-1163448,BIZ-100044,EVERGREEN TECHNOLOGIES,, Seattle ,Hospitality,,,Silver
ORD-1800429,BIZ-100044, Evergreen Technologies ,evergreentechnologies,SEATTLE,Hospitality,2023-09-14,4087.71,Bronze
ORD-6614605,BIZ-100044,evergreen technologies, evergreentechnologies ,seattle,hospitality,,4666.04,bronze
ORD-4337963,BIZ-100045,Riverstone Studios LLC,,DALLAS-FT. WORTH,MARKETING,2023/12/26,,Gold
ORD-5807067,BIZ-100045, Riverstone Studios ,RIVERSTONESTUDIOS,DALLAS-FT. WORTH,marketing,2024/01/26,,Gold
ORD-6765079,BIZ-100046,REDWOOD HOSPITALITY, redwoodhospitality ,houston,logistics,2023/06/15,,Silver
ORD-7092894,BIZ-100046,Redwood Hospitality LLC,, Houston ,LOGISTICS,2024-03-31,5462.02,Platinum
ORD-2343263,BIZ-100047,SUMMIT HEALTH,SUMMITHEALTH, Dallas-Ft. Worth ,Technology,01/31/2025,-250.0,gold
ORD-7660764,BIZ-100047,Summit Health LLC,summithealth,Dallas-Ft. Worth,TECHNOLOGY,,,Silver
ORD-5150624,BIZ-100047,summit health,,DALLAS-FT. WORTH,Technology,,,SILVER
ORD-8988550,BIZ-100047, Summit Health ,,dallas-ft. worth,technology,2025-14-01,-250.0,GOLD
ORD-8659527,BIZ-100048,NovaTech Logistics LLC,,seattle,FINANCE,2025-14-01,,Silver
ORD-7915632,BIZ-100048,novatech logistics,NOVATECHLOGISTICS,seattle,Finance,01/10/2024,20165.87,SILVER
ORD-8871835,BIZ-100048,NovaTech Logistics LLC,novatechlogistics, Seattle ,FINANCE,2023/10/21,,platinum
ORD-1121097,BIZ-100048,NovaTech Logistics LLC, novatechlogistics ,SEATTLE,FINANCE,,,bronze
ORD-5412076,BIZ-100048,NovaTech Logistics,,SEATTLE,finance,,,Platinum
ORD-9924543,BIZ-100048,novatech logistics,,SEATTLE,Finance,2025-01-30,,platinum
ORD-9254323,BIZ-100049,URBANHIVE HEALTH, urbanhivehealth ,Miami-Fort Lauderdale,Technology,10/06/2023,4851.61,Silver
ORD-3097809,BIZ-100049, UrbanHive Health ,urbanhivehealth,MIAMI-FORT LAUDERDALE,Technology,2023-10-03,,Silver
ORD-9361693,BIZ-100049,urbanhive health,,Miami-Fort Lauderdale,TECHNOLOGY,03/15/2025,4233.38,Silver
ORD-7583744,BIZ-100049,UrbanHive Health,, Miami-Fort Lauderdale ,Technology,2025-03-05,,gold
ORD-5176895,BIZ-100049, UrbanHive Health ,,MIAMI-FORT LAUDERDALE,technology,05/05/2023,1075.98,BRONZE
ORD-7528399,BIZ-100050,luna retail, lunaretail ,DALLAS-FT. WORTH,technology,04/29/2024,3749.15,Silver
ORD-6013251,BIZ-100050,LUNA RETAIL, lunaretail ,Dallas-Ft. Worth,technology,2024-05-07,,SILVER
ORD-3807840,BIZ-100050,luna retail,,Dallas-Ft. Worth,TECHNOLOGY,2023-01-16,,PLATINUM
ORD-7231035,BIZ-100051,Northwind Digital,NORTHWINDDIGITAL,NEW YORK,FINANCE,06/08/2023,3461.13,gold
ORD-3582322,BIZ-100051,Northwind Digital LLC,northwinddigital,NEW YORK,FINANCE,2023-12-31,,Bronze
ORD-4237420,BIZ-100051,Northwind Digital,,new york,finance,2025-01-20,,BRONZE
ORD-9222379,BIZ-100051,NORTHWIND DIGITAL,,NEW YORK,finance,2023/10/29,-250.0,BRONZE
ORD-2155557,BIZ-100051,Northwind Digital LLC,NORTHWINDDIGITAL, New York ,FINANCE,2023/06/14,-250.0,bronze
ORD-4112748,BIZ-100051,Northwind Digital,,new york,finance,2025-01-21,-250.0,bronze
ORD-9347489,BIZ-100052,Evergreen Industries LLC,EVERGREENINDUSTRIES,dallas-ft. worth,HEALTHCARE,2025-14-01,-250.0,Platinum
ORD-1734460,BIZ-100052,EVERGREEN INDUSTRIES,EVERGREENINDUSTRIES,Dallas-Ft. Worth,Healthcare,03/10/2023,-250.0,Platinum
ORD-7519606,BIZ-100052, Evergreen Industries ,,dallas-ft. worth,Healthcare,2025/05/06,1181.54,silver
ORD-2341452,BIZ-100053, UrbanHive Industries ,urbanhiveindustries,dallas-ft. worth,logistics,2025-14-01,4127.93,platinum
ORD-9875496,BIZ-100053,UrbanHive Industries,urbanhiveindustries,dallas-ft. worth,Logistics,2023-09-30,6942.39,BRONZE
ORD-4178618,BIZ-100053,URBANHIVE INDUSTRIES,,DALLAS-FT. WORTH,logistics,2024-01-30,2836.28,Platinum
ORD-7005628,BIZ-100053, UrbanHive Industries ,,Dallas-Ft. Worth,Logistics,2024-08-13,15093.86,BRONZE
ORD-8432510,BIZ-100053,urbanhive industries, urbanhiveindustries ,dallas-ft. worth,LOGISTICS,2025-14-01,,platinum
ORD-4589118,BIZ-100054, Skyline Supply ,,dallas-ft. worth,TECHNOLOGY,2025-14-01,2292.75,Silver
ORD-1273509,BIZ-100054,Skyline Supply LLC,SKYLINESUPPLY,dallas-ft. worth,Technology,2024/09/02,,gold
ORD-5629792,BIZ-100054,Skyline Supply LLC,,DALLAS-FT. WORTH,Technology,03/01/2025,,SILVER
ORD-4908993,BIZ-100055,summit supply, summitsupply ,Atlanta,hospitality,2025-14-01,2888.42,PLATINUM
ORD-9095563,BIZ-100055,SUMMIT SUPPLY,,Atlanta,hospitality,2023/11/29,,Gold
ORD-1938227,BIZ-100055,summit supply, summitsupply , Atlanta ,HOSPITALITY,03/09/2025,-250.0,gold
ORD-7417066,BIZ-100055,Summit Supply, summitsupply ,Atlanta,HOSPITALITY,,11536.63,GOLD
ORD-7591477,BIZ-100055, Summit Supply ,,Atlanta,Hospitality,2025-14-01,12886.45,SILVER
ORD-8983516,BIZ-100055,Summit Supply LLC,summitsupply, Atlanta ,HOSPITALITY,03/26/2023,13689.82,GOLD
ORD-4323709,BIZ-100056, Silverline Financial ,,MIAMI-FORT LAUDERDALE,technology,,15484.96,Gold
ORD-8215305,BIZ-100056,silverline financial,,Miami-Fort Lauderdale,Technology,2025-14-01,,SILVER
ORD-1406123,BIZ-100056,silverline financial,SILVERLINEFINANCIAL,miami-fort lauderdale,technology,2025-14-01,13809.27,silver
ORD-7271672,BIZ-100056,SILVERLINE FINANCIAL,silverlinefinancial,Miami-Fort Lauderdale,technology,12/02/2024,17420.05,Silver
