date,channel,spend,revenue
2025-04-26,Paid_Search,3639.79,3879.54
2025-04-27,Paid_Search,3677.62,4040.56
2025-04-28,Paid_Search,3764.12,4079.89
2025-04-29,Paid_Search,3743.47,3994.91
2025-04-30,Paid_Search,3748.15,4085.04
2025-01-01,Paid_Social,775.26,523.85
2025-01-02,Paid_Social,842.52,721.59
2025-01-03,Paid_Social,878.15,677.71
2025-01-04,Paid_Social,877.58,719.57
2025-01-05,Paid_Social,931.18,717.62
2025-01-06,Paid_Social,927.19,685.85
2025-01-07,Paid_Social,939.08,669.92
2025-01-08,Paid_Social,971.02,605.81
2025-01-09,Paid_Social,1004.85,810.44
2025-01-10,Paid_Social,1029.04,793.23
2025-01-11,Paid_Social,1047.59,737.03
2025-01-12,Paid_Social,1050.34,701.11
2025-01-13,Paid_Social,1066.52,933.09
2025-01-14,Paid_Social,1141.5,996.41
2025-01-15,Paid_Social,1140.04,750.02
2025-01-16,Paid_Social,1168.78,876.44
2025-01-17,Paid_Social,1182.77,797.67
2025-01-18,Paid_Social,1238.49,1059.53
2025-01-19,Paid_Social,1286.21,861.89
2025-01-20,Paid_Social,1248.89,787.53
2025-01-21,Paid_Social,1244.14,803.47
2025-01-22,Paid_Social,1363.75,1072.65
2025-01-23,Paid_Social,1391.02,894.93
2025-01-24,Paid_Social,1386.71,1144.67
2025-01-25,Paid_Social,1402.12,1171.6
2025-01-26,Paid_Social,1394.49,846.03
2025-01-27,Paid_Social,1465.9,1251.02
2025-01-28,Paid_Social,1467.51,1117.56
2025-01-29,Paid_Social,1505.69,948.02
2025-01-30,Paid_Social,1530.25,1217.15
2025-01-31,Paid_Social,1566.72,1315.86
2025-02-01,Paid_Social,1605.87,980.18
2025-02-02,Paid_Social,1615.18,1094.94
2025-02-03,Paid_Social,1642.7,1112.31
2025-02-04,Paid_Social,1621.18,1360.13
2025-02-05,Paid_Social,1699.65,1247.27
2025-02-06,Paid_Social,1684.36,1466.06
2025-02-07,Paid_Social,1716.25,1308.59
2025-02-08,Paid_Social,1751.22,1572.9
2025-02-09,Paid_Social,1779.22,1359.01
2025-02-10,Paid_Social,1777.67,1789.6
2025-02-11,Paid_Social,1826.62,1658.32
2025-02-12,Paid_Social,1859.85,1690.82
2025-02-13,Paid_Social,1861.39,1879.93
2025-02-14,Paid_Social,1908.35,2113.08
2025-02-15,Paid_Social,1940.7,1856.45
2025-02-16,Paid_Social,1991.32,2383.46
2025-02-17,Paid_Social,1945.58,1870.03
2025-02-18,Paid_Social,1983.4,2231.42
2025-02-19,Paid_Social,2007.39,2081.85
2025-02-20,Paid_Social,2050.27,1975.61
2025-02-21,Paid_Social,2061.11,2348.8
2025-02-22,Paid_Social,2122.47,2152.83
2025-02-23,Paid_Social,2131.11,2397.4
2025-02-24,Paid_Social,2210.62,2625.84
2025-02-25,Paid_Social,2191.49,2500.9
2025-02-26,Paid_Social,2213.09,2138.8
2025-02-27,Paid_Social,2223.98,2179.77
2025-02-28,Paid_Social,2247.28,2096.05
2025-03-01,Paid_Social,2259.05,2462.68
2025-03-02,Paid_Social,2312.42,2612.72
2025-03-03,Paid_Social,2344.12,2350.54
2025-03-04,Paid_Social,2345.24,2690.47
2025-03-05,Paid_Social,2398.11,2609.02
2025-03-06,Paid_Social,2380.06,2161.89
2025-03-07,Paid_Social,2422.86,2729.26
2025-03-08,Paid_Social,2479.03,2567.58
2025-03-09,Paid_Social,2462.64,2548.9
2025-03-10,Paid_Social,2449.87,2795.18
2025-03-11,Paid_Social,2482.72,2534.15
2025-03-12,Paid_Social,2541.16,2758.56
2025-03-13,Paid_Social,2581.47,2331.35
2025-03-14,Paid_Social,2597.8,3079.32
2025-03-15,Paid_Social,2625.17,3075.7
2025-03-16,Paid_Social,2646.64,2530.95
2025-03-17,Paid_Social,2671.52,2903.27
2025-03-18,Paid_Social,2720.2,3190.22
2025-03-19,Paid_Social,2743.4,2798.99
2025-03-20,Paid_Social,2735.97,2560.43
2025-03-21,Paid_Social,2764.26,3161.71
2025-03-22,Paid_Social,2791.03,3044.88
2025-03-23,Paid_Social,2811.55,2995.79
2025-03-24,Paid_Social,2811.13,3079.71
2025-03-25,Paid_Social,2882.05,3078.97
2025-03-26,Paid_Social,2910.3,3192.44
2025-03-27,Paid_Social,2869.35,3017.26
2025-03-28,Paid_Social,2961.69,3113.82
2025-03-29,Paid_Social,2981.49,3208.38
2025-03-30,Paid_Social,3017.07,3252.17
2025-03-31,Paid_Social,3016.74,3271.69
2025-04-01,Paid_Social,3092.76,3292.25
2025-04-02,Paid_Social,3059.29,3213.68
2025-04-03,Paid_Social,3064.88,3297.39
2025-04-04,Paid_Social,3139.3,3440.1
2025-04-05,Paid_Social,3119.22,3333.09
2025-04-06,Paid_Social,3166.04,3471.86
2025-04-07,Paid_Social,3197.68,3407.83
2025-04-08,Paid_Social,3221.49,3410.72
2025-04-09,Paid_Social,3221.47,3514.03
2025-04-10,Paid_Social,3310.36,3506.52
2025-04-11,Paid_Social,3279.56,3537.7
2025-04-12,Paid_Social,3340.89,3566.23
2025-04-13,Paid_Social,3349.29,3603.67
2025-04-14,Paid_Social,3417.21,3617.93
2025-04-15,Paid_Social,3407.34,3743.99
2025-04-16,Paid_Social,3449.66,3777.65
2025-04-17,Paid_Social,3441.54,3629.72
2025-04-18,Paid_Social,3476.73,3661.93
2025-04-19,Paid_Social,3457.15,3798.6
2025-04-20,Paid_Social,3508.4,3713.28
2025-04-21,Paid_Social,3559.03,3855.99
2025-04-22,Paid_Social,3597.08,3862.71
2025-04-23,Paid_Social,3635.2,3902.14
2025-04-24,Paid_Social,3623.79,3887.85
2025-04-25,Paid_Social,3634.44,3995.05
2025-04-26,Paid_Social,3697.32,3922.9
2025-04-27,Paid_Social,3706.21,4031.4
2025-04-28,Paid_Social,3683.12,3952.69
2025-04-29,Paid_Social,3742.5,4024.04
2025-04-30,Paid_Social,3760.0,4074.68
2025-01-01,Display,790.42,479.68
2025-01-02,Display,832.0,628.77
2025-01-03,Display,874.17,642.32
2025-01-04,Display,897.31,784.64
2025-01-05,Display,922.94,783.69
2025-01-06,Display,924.01,734.35
2025-01-07,Display,966.18,659.16
2025-01-08,Display,1010.8,776.45
2025-01-09,Display,976.8,836.87
2025-01-10,Display,1052.0,692.76
2025-01-11,Display,1032.97,859.58
2025-01-12,Display,1095.02,797.52
2025-01-13,Display,1089.36,723.45
2025-01-14,Display,1147.36,952.52
2025-01-15,Display,1171.98,964.94
2025-01-16,Display,1156.97,771.03
2025-01-17,Display,1187.49,763.27
2025-01-18,Display,1213.12,865.11
2025-01-19,Display,1270.9,793.24
2025-01-20,Display,1287.17,861.77
2025-01-21,Display,1309.0,904.99
2025-01-22,Display,1360.31,1156.88
2025-01-23,Display,1365.55,1108.57
2025-01-24,Display,1372.62,1020.42
2025-01-25,Display,1391.62,1014.99
2025-01-26,Display,1415.42,1020.88
2025-01-27,Display,1459.02,958.03
2025-01-28,Display,1461.1,1158.9
2025-01-29,Display,1484.65,1158.45
2025-01-30,Display,1538.49,1268.76
2025-01-31,Display,1573.96,1083.9
2025-02-01,Display,1609.09,1318.62
2025-02-02,Display,1597.89,1333.69
2025-02-03,Display,1637.6,1010.14
2025-02-04,Display,1641.7,1179.61
2025-02-05,Display,1684.04,1162.03
2025-02-06,Display,1710.58,1279.91
2025-02-07,Display,1680.26,1074.77
2025-02-08,Display,1715.61,1213.14
2025-02-09,Display,1776.14,1123.27
2025-02-10,Display,1794.82,2146.09
2025-02-11,Display,1828.79,1743.1
2025-02-12,Display,1838.72,2089.04
2025-02-13,Display,1876.79,1795.87
2025-02-14,Display,1933.88,1827.47
2025-02-15,Display,1928.94,2054.95
2025-02-16,Display,1963.87,2193.39
2025-02-17,Display,1959.84,1867.66
2025-02-18,Display,2003.62,2045.63
2025-02-19,Display,2047.14,2308.41
2025-02-20,Display,2052.57,2282.63
2025-02-21,Display,2110.21,2393.31
2025-02-22,Display,2126.12,2392.29
2025-02-23,Display,2112.91,2290.31
2025-02-24,Display,2182.42,1966.21
2025-02-25,Display,2158.88,2444.86
2025-02-26,Display,2194.97,2054.99
2025-02-27,Display,2232.65,2156.93
2025-02-28,Display,2263.68,2406.18
2025-03-01,Display,2267.93,2236.21
2025-03-02,Display,2291.51,2484.37
2025-03-03,Display,2310.37,2304.0
2025-03-04,Display,2305.46,2647.68
2025-03-05,Display,2341.01,2406.34
2025-03-06,Display,2426.19,2344.78
2025-03-07,Display,2401.9,2498.39
2025-03-08,Display,2470.22,2873.38
2025-03-09,Display,2445.47,2529.36
2025-03-10,Display,2495.55,2737.29
2025-03-11,Display,2554.4,2400.0
2025-03-12,Display,2567.07,2776.65
2025-03-13,Display,2572.21,2906.68
2025-03-14,Display,2567.25,2959.71
2025-03-15,Display,2704.17,2488.76
2025-03-16,Display,2662.97,2810.39
2025-03-17,Display,2677.15,2565.62
2025-03-18,Display,2690.8,2987.38
2025-03-19,Display,2737.89,2907.85
2025-03-20,Display,2752.85,3169.61
2025-03-21,Display,2785.27,2513.37
2025-03-22,Display,2807.45,2949.08
2025-03-23,Display,2822.03,3079.22
2025-03-24,Display,2846.33,3025.05
2025-03-25,Display,2897.02,3158.14
2025-03-26,Display,2877.73,3155.12
2025-03-27,Display,2923.65,3200.81
2025-03-28,Display,2973.23,3184.12
2025-03-29,Display,2974.45,3224.82
2025-03-30,Display,3002.83,3181.43
2025-03-31,Display,2974.67,3266.93
2025-04-01,Display,3038.09,3211.91
2025-04-02,Display,3068.82,3224.42
2025-04-03,Display,3110.22,3389.3
2025-04-04,Display,3159.21,3397.27
2025-04-05,Display,3163.23,3444.42
2025-04-06,Display,3194.73,3419.39
2025-04-07,Display,3178.54,3388.61
2025-04-08,Display,3234.9,3424.57
2025-04-09,Display,3220.77,3447.34
2025-04-10,Display,3264.67,3587.1
2025-04-11,Display,3273.04,3577.03
2025-04-12,Display,3354.41,3626.05
2025-04-13,Display,3365.7,3606.85
2025-04-14,Display,3361.7,3589.88
2025-04-15,Display,3424.5,3641.73
2025-04-16,Display,3403.93,3711.69
2025-04-17,Display,3457.86,3715.11
2025-04-18,Display,3438.52,3757.51
2025-04-19,Display,3517.72,3772.07
2025-04-20,Display,3528.8,3867.89
2025-04-21,Display,3564.87,3864.75
2025-04-22,Display,3544.81,3762.5
2025-04-23,Display,3599.22,3948.07
2025-04-24,Display,3620.42,3863.54
2025-04-25,Display,3638.13,3882.24
2025-04-26,Display,3685.21,3896.11
2025-04-27,Display,3719.7,4033.73
2025-04-28,Display,3746.43,3981.21
2025-04-29,Display,3729.22,3994.86
2025-04-30,Display,3789.66,4049.62
